decimalLatitude,decimalLongitude,occurrenceStatus,year
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,1,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,1,2024
60.17,22.206,0,2024
61.534417,23.638053,1,2024
60.17522,24.981413,1,2012
61.522055,23.329862,1,2024
61.741301,23.873009,1,2024
60.420083,22.440838,1,2024
60.420083,22.440838,0,2024
60.420083,22.440838,1,2024
60.420083,22.440838,0,2024
60.420083,22.440838,1,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,1,2024
60.420083,22.440838,0,2024
61.297317,29.139767,1,2024
60.206403,24.966493,1,2024
60.119948,24.61893,1,2024
60.203424,24.965804,1,2024
64.698189,27.339849,1,2024
60.222747,24.923261,1,2024
60.4836,22.26343,1,2024
60.48328,22.27393,1,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,1,2024
60.723897,24.725161,0,2024
60.793551,24.953117,1,2024
60.793551,24.953117,0,2024
60.723897,24.725161,1,2024
60.723897,24.725161,1,2024
60.793551,24.953117,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.853142,24.599018,1,2024
60.228676,25.01992,1,2024
60.173037,24.949624,1,2024
61.236964,22.269895,1,2024
60.139339,24.447317,1,2024
60.22053,25.0075,1,2024
60.063407,23.690337,1,2024
62.149676,28.220928,1,2024
60.174867,24.94723,1,2024
60.406982,25.84762,1,2019
60.094892,23.550873,1,2020
60.489023,23.40663,1,2022
60.021887,22.355864,1,2021
60.632227,21.846726,1,2021
60.65494,23.894082,1,2020
59.999079,23.890075,1,2021
60.604683,21.841009,1,2021
60.076174,23.897957,1,2021
60.561165,21.419459,1,2021
60.557777,21.423316,1,2021
59.994394,23.65,1,2020
61.003189,25.216011,1,2020
60.137394,22.872246,1,2020
60.267184,24.024124,1,2019
60.373418,26.01565,1,2018
60.583484,23.381324,1,2022
59.905296,23.730519,1,2021
60.858967,26.610005,1,2020
60.428894,23.166673,1,2020
60.614585,23.876187,1,2022
60.587392,23.384854,1,2022
60.584478,23.373926,1,2022
60.185362,24.008592,1,2019
60.555302,21.912479,1,2022
60.140774,23.035566,1,2022
60.228593,23.260858,1,2017
59.981487,22.521047,1,2021
60.422877,21.386453,1,2017
60.901099,22.336155,1,2016
61.231256,21.972521,1,2011
60.284234,21.319432,1,2016
63.106073,29.798223,1,2008
60.314226,24.518887,1,2009
60.912453,23.4132,1,2020
60.92953,23.567191,1,2020
60.827973,23.553801,1,2020
60.287667,21.32727,1,2016
59.979319,22.354929,1,2015
59.969781,21.786341,1,2015
60.086104,21.640175,1,2015
60.546626,25.177613,1,2010
60.537701,23.444141,1,2022
60.522172,23.478895,1,2022
60.550697,23.420137,1,2022
60.548671,23.423267,1,2022
60.548206,23.420597,1,2022
60.548763,23.443362,1,2022
62.241976,21.74165,1,2022
61.133208,24.960174,1,2021
60.987167,25.783383,1,2021
61.084882,25.142129,1,2021
60.598663,23.351621,1,2022
60.58206,23.3354,1,2022
60.581424,23.327691,1,2022
60.278899,24.263332,1,2022
60.543351,23.406363,1,2022
60.591009,23.314988,1,2022
60.245007,25.196067,1,2022
60.547606,25.197242,1,2023
60.07248,23.397104,1,2023
60.27785,22.216144,1,2023
60.61968,21.792469,1,2023
60.686037,24.294342,1,2010
60.746532,23.594361,1,2009
60.992726,24.114526,1,2018
59.987783,23.263585,1,2021
60.499882,24.779772,1,2020
60.992726,24.114526,1,2018
60.337466,25.606922,1,2021
59.985783,23.131531,1,2021
59.985037,23.131436,1,2021
59.998013,23.902748,1,2021
59.994011,23.265349,1,2021
60.530513,26.119529,1,2020
60.437586,25.24126,1,2018
60.498738,26.156625,1,2020
60.433284,25.691001,1,2018
59.882572,23.094846,1,2021
60.508771,23.413215,1,2021
60.473743,25.657649,1,2020
60.586017,23.334877,1,2022
60.46583,25.954986,1,2021
60.045567,23.640349,1,2019
60.397376,25.071461,1,2022
61.317997,25.49981,1,2020
60.055904,23.354428,1,2021
60.408416,25.840633,1,2019
60.533622,21.934382,1,2021
60.616969,25.771225,1,2018
60.537203,21.981915,1,2021
59.904505,23.691018,1,2021
60.352784,24.693512,1,2021
60.61025,23.9877,1,2019
60.072937,23.889841,1,2021
60.344322,24.693723,1,2021
60.615017,23.896973,1,2019
60.633795,21.851138,1,2021
60.517365,23.421952,1,2021
60.38399,22.252066,1,2021
60.798085,23.478552,1,2023
60.581652,23.374696,1,2022
60.94236,25.563122,1,2020
60.601523,24.239103,1,2020
60.821006,23.775351,1,2020
60.206929,23.814144,1,2019
60.640309,21.845167,1,2021
60.396671,22.246108,1,2021
60.589545,23.390378,1,2022
60.586123,23.385111,1,2022
60.401294,22.250026,1,2016
60.36316,26.02827,1,2018
60.228988,23.881254,1,2019
60.054513,22.72375,1,2020
60.277807,22.430148,1,2022
60.610647,23.323085,1,2022
60.585053,23.383528,1,2022
60.75413,21.634228,1,2016
60.352273,23.805742,1,2019
61.475489,21.350431,1,2011
60.315567,24.516023,1,2009
60.39696,22.367686,1,2021
61.066296,24.167042,1,2020
62.148984,22.985692,1,2017
60.356,25.717988,1,2012
61.281248,22.084587,1,2018
59.906708,23.512164,1,2014
59.829517,23.569063,1,2014
61.557084,21.674686,1,2021
60.190332,23.717903,1,2021
61.339975,22.859632,1,2014
60.513266,23.419225,1,2021
60.511865,23.418977,1,2021
60.304844,25.190197,1,2021
60.240264,23.7997,1,2009
60.541774,23.447247,1,2022
60.93066,28.114573,1,2021
59.964862,23.891636,1,2022
61.589181,28.970498,1,2019
60.928962,26.534889,1,2022
60.313275,26.808076,1,2022
60.593229,23.303814,1,2022
60.312574,24.626258,1,2022
60.315323,24.517844,1,2022
60.212526,24.244447,1,2022
60.845827,21.017671,1,2023
60.579549,23.339996,1,2022
60.202563,23.604012,1,2023
60.309296,24.533257,1,2022
60.61215,23.319644,1,2022
62.882227,27.418631,1,2020
60.621805,21.784719,1,2023
60.624678,24.758484,1,2020
60.68485,25.984008,1,2021
60.611684,25.026653,1,2020
60.685501,23.88742,1,2010
60.279148,22.205283,1,2023
61.089097,22.174256,1,2011
60.12623,23.584505,1,2020
60.364955,26.052097,1,2020
60.454346,26.115575,1,2020
60.495096,25.93131,1,2020
60.583227,24.074486,1,2021
60.584192,24.090975,1,2019
59.985005,23.129873,1,2021
60.000832,23.144856,1,2021
60.332769,25.607188,1,2021
60.646903,25.584953,1,2020
60.692504,26.01739,1,2020
60.058619,23.954189,1,2020
60.492055,21.772238,1,2021
60.267887,25.432597,1,2020
60.240462,25.896465,1,2021
60.030175,23.875273,1,2021
60.530286,26.126817,1,2020
60.236779,25.437911,1,2018
60.233338,23.850018,1,2020
60.223586,23.827733,1,2019
60.438043,24.824115,1,2018
60.585583,23.323991,1,2022
60.466831,26.003321,1,2018
60.137237,23.740458,1,2019
60.067312,24.471621,1,2022
60.143973,23.416095,1,2022
60.047013,23.641355,1,2019
59.982259,23.905594,1,2022
60.660094,23.870922,1,2022
60.532852,21.927383,1,2021
60.63578,21.867098,1,2021
60.201588,23.940057,1,2020
60.267929,25.902569,1,2018
60.022504,23.102043,1,2020
59.94507,22.9909,1,2020
62.448414,30.479232,1,2018
60.474082,24.889553,1,2020
60.342233,24.75293,1,2021
60.379862,22.260141,1,2021
60.225291,23.8041,1,2019
60.224722,23.864512,1,2020
60.486302,23.438266,1,2021
60.58749,23.391502,1,2022
60.587035,23.388435,1,2022
60.785156,22.069133,1,2017
59.992406,24.44603,1,2021
60.998852,25.217098,1,2020
61.100009,25.83994,1,2020
61.139382,25.322873,1,2020
60.487571,23.438968,1,2021
60.918759,21.384012,1,2021
