decimalLatitude,decimalLongitude,occurrenceStatus,year
62.190736,23.132724,1,2024
62.194716,23.147655,1,2024
62.199471,23.142369,1,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,1,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
64.272152,27.55812,1,2021
64.415318,29.952798,1,2024
61.521931,23.329877,1,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,1,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.294137,22.143689,1,2024
63.362875,27.36788,1,2024
64.853755,25.300547,1,2024
65.064886,25.513373,1,2023
63.918032,23.130204,1,2024
66.510352,25.72404,1,2024
64.55748,26.815563,1,2024
64.701469,27.333677,1,2024
65.772927,24.503243,1,2024
61.076407,23.736707,1,2024
60.212209,25.270896,1,2024
62.547918,24.162667,1,2023
61.204475,25.129883,1,2024
60.723897,24.725161,1,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,1,2024
60.793551,24.953117,0,2024
60.723897,24.725161,1,2024
60.793551,24.953117,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
61.088562,28.688031,1,2024
61.236964,22.269895,1,2024
60.340321,26.514426,1,2021
63.029295,29.926735,1,2018
60.12216,23.536681,1,2019
68.369361,25.478721,1,2020
66.302526,29.581012,1,2009
67.468761,28.377474,1,2020
60.561165,21.419459,1,2021
60.557777,21.423316,1,2021
66.875708,25.455654,1,2019
60.650974,27.809781,1,2021
60.379862,22.260141,1,2021
68.283613,24.027313,1,2022
65.713679,24.600863,1,2020
65.906773,24.715051,1,2020
64.398897,27.660833,1,2021
64.413515,27.68167,1,2021
66.364084,29.342608,1,2009
66.381727,29.277932,1,2009
66.413286,29.18523,1,2008
65.060918,24.905535,1,2020
64.075144,23.628763,1,2020
60.918759,21.384012,1,2021
59.836291,23.162554,1,2020
60.107761,24.629023,1,2021
61.323282,25.513857,1,2020
65.709722,24.591655,1,2020
65.814424,24.936581,1,2008
65.818372,24.92786,1,2008
65.712544,24.682364,1,2008
59.990579,24.439694,1,2021
65.819607,24.928877,1,2008
65.668663,24.870896,1,2020
