decimalLatitude,decimalLongitude,occurrenceStatus,year
63.23888,25.104743,1,2013
63.09381,30.631098,1,2010
60.238301,24.642958,1,2024
60.599678,25.034728,1,2024
60.604844,25.042707,1,2024
61.23733,22.270471,1,2024
60.617674,25.00181,1,2024
61.405232,28.57609,1,2024
60.566879,24.752886,1,2024
60.159053,24.560434,1,2024
61.252348,24.089571,1,2024
60.358882,23.678937,1,2024
61.192997,23.897901,1,2024
60.585624,25.037265,1,2024
61.05325,28.098262,1,2024
60.029415,24.421192,1,2024
60.259465,24.90591,1,2024
61.467906,23.895814,1,2024
60.026028,24.425945,1,2024
61.45608,23.470203,1,2024
60.129486,24.408632,1,2024
61.178598,23.851558,1,2024
61.376026,29.251394,1,2024
61.186148,23.844108,1,2024
61.143996,28.666466,1,2024
61.52212,23.330532,1,2024
66.226379,24.558747,1,2024
60.420083,22.440838,1,2024
60.420083,22.440838,1,2024
60.420083,22.440838,1,2024
61.181498,23.853191,1,2024
61.186868,23.87049,1,2024
61.034836,28.27089,1,2024
61.187091,23.870194,1,2024
61.185852,23.841006,1,2024
61.183157,23.852567,1,2024
60.119948,24.61893,1,2024
60.203424,24.965804,1,2024
60.424286,22.316408,1,2024
60.425288,22.318885,1,2024
60.181078,24.986368,1,2024
61.508572,23.91703,1,2024
61.434982,23.865658,1,2024
63.09671,29.8052,1,2024
60.068176,23.03345,1,2024
61.37945,22.933805,1,2024
61.854385,29.579305,1,2024
62.575272,31.040881,1,2024
62.76044,23.058781,1,2024
62.147363,23.662149,1,2024
61.517743,23.874677,1,2024
61.545372,23.892255,1,2024
61.817304,21.762766,1,2024
60.743702,22.425894,1,2024
64.202774,25.338692,1,2024
59.81092,22.894882,1,2024
60.146287,24.878662,1,2024
64.452249,24.425529,1,2024
60.723897,24.725161,1,2024
60.723897,24.725161,1,2024
60.793551,24.953117,1,2024
61.177334,23.870988,1,2024
61.088954,28.688445,1,2024
61.089948,28.68625,1,2024
61.236964,22.269895,1,2024
62.149676,28.220928,1,2024
65.747787,24.548437,1,2024
65.67721,24.555677,1,2024
60.139339,24.447317,1,2024
60.22053,25.0075,1,2024
60.063407,23.690337,1,2024
60.174867,24.94723,1,2024
60.218005,25.014736,1,2024
60.247564,25.191446,1,2021
60.616969,25.771225,1,2018
62.016969,30.038375,1,2018
60.022504,23.102043,1,2020
60.702208,26.911251,1,2021
60.321549,24.510359,1,2021
60.489023,23.40663,1,2022
60.494761,23.404236,1,2021
61.942338,26.038104,1,2020
59.807384,22.321257,1,2021
61.941191,26.036957,1,2020
61.947291,25.999386,1,2020
60.640309,21.845167,1,2021
62.060837,26.990808,1,2021
60.474082,24.889553,1,2020
60.61025,23.9877,1,2019
62.774522,25.313942,1,2021
60.319336,24.51234,1,2021
60.615017,23.896973,1,2019
60.604541,21.847201,1,2021
60.633795,21.851138,1,2021
61.727466,26.281424,1,2020
60.33325,24.296431,1,2022
60.52783,25.722061,1,2022
60.529466,25.700156,1,2022
60.524074,25.708727,1,2022
61.098371,24.102266,1,2023
61.323282,25.513857,1,2020
66.406604,26.202609,1,2016
66.549945,23.839419,1,2016
63.173799,30.329526,1,2020
60.780923,24.154377,1,2020
60.379862,22.260141,1,2021
62.166116,25.686459,1,2020
62.207012,30.316815,1,2020
61.926431,26.019078,1,2020
62.056066,26.993401,1,2021
60.38399,22.252066,1,2021
62.423372,30.388106,1,2022
63.130825,30.729154,1,2018
61.415778,26.607281,1,2018
64.415058,27.68372,1,2021
64.413515,27.68167,1,2021
62.428633,30.342419,1,2018
60.228628,23.877013,1,2020
60.469955,25.97405,1,2021
59.992406,24.44603,1,2021
60.054513,22.72375,1,2020
60.001885,22.202143,1,2021
60.267184,24.024124,1,2019
60.14515,21.954829,1,2021
59.960158,23.064203,1,2021
60.509442,23.417907,1,2021
61.760423,25.800905,1,2021
64.129858,28.401582,1,2021
61.13308,25.368986,1,2020
62.206027,30.542299,1,2020
60.928672,23.568376,1,2020
61.043591,25.167683,1,2020
60.581652,23.374696,1,2022
60.583484,23.381324,1,2022
60.824271,23.775901,1,2020
66.333001,23.794887,1,2008
65.819607,24.928877,1,2008
65.821579,24.92469,1,2008
65.82001,24.926809,1,2008
65.818372,24.92786,1,2008
65.816236,24.92987,1,2008
65.831313,24.886941,1,2008
66.079587,24.960086,1,2008
65.811084,24.514861,1,2008
65.810228,24.513587,1,2008
60.269116,24.007998,1,2019
59.818536,22.902842,1,2020
60.858967,26.610005,1,2021
62.755729,30.10597,1,2018
60.586123,23.385111,1,2022
60.655655,21.941212,1,2018
66.132597,25.600994,1,2008
66.134297,25.600435,1,2008
65.813958,24.934649,1,2008
65.816673,24.926289,1,2008
60.614585,23.876187,1,2022
64.19757,24.166041,1,2021
61.491248,25.997093,1,2020
62.629011,26.487603,1,2021
59.825985,22.321956,1,2021
61.609491,28.716208,1,2018
61.65712,25.89768,1,2021
61.550332,23.892923,1,2017
61.548379,23.899752,1,2017
60.610647,23.323085,1,2022
60.585053,23.383528,1,2022
65.816197,24.927641,1,2008
65.832092,24.897936,1,2008
65.83133,24.894079,1,2008
66.081488,24.957235,1,2008
65.712544,24.682364,1,2008
62.721298,30.812928,1,2022
60.426716,21.411599,1,2018
62.415946,30.881112,1,2022
62.933373,31.133763,1,2017
63.083987,29.816044,1,2013
63.083695,29.815838,1,2013
64.954164,27.228082,1,2016
63.079267,29.824806,1,2013
61.472893,24.420124,1,2017
61.76666,24.066576,1,2017
63.012568,29.926805,1,2018
61.55242,24.38692,1,2017
59.970171,23.06242,1,2021
59.981487,22.521047,1,2021
62.562617,30.680714,1,2018
63.10385,29.79155,1,2018
63.105572,29.797964,1,2018
62.184432,30.305988,1,2022
63.325149,30.734222,1,2017
63.037163,29.926443,1,2013
63.083788,29.81796,1,2013
63.083889,29.817038,1,2013
64.399305,27.673108,1,2021
64.413515,27.68167,1,2021
64.400598,27.666815,1,2021
