decimalLatitude,decimalLongitude,occurrenceStatus,year
58.18105,15.02254,1,2014
56.62061,16.52447,1,2014
56.37102,15.32352,1,2014
56.18125,15.51285,1,2014
58.35808,15.69775,1,2013
60.49761,18.06057,1,2014
58.21499,15.00311,1,2014
56.70131,16.57108,1,2014
59.73699,17.78975,1,2014
59.80766,17.90645,1,2014
58.21437,15.00752,1,2014
58.18873,14.98144,1,2014
59.96718,17.27298,1,2014
59.96707,17.2731,1,2014
59.96595,17.27164,1,2014
58.78666,17.06763,1,2014
56.7947,16.64555,1,2014
59.73572,17.79388,1,2014
59.38266,18.02,1,2014
57.66646,16.285,1,2014
59.39306,16.8421,1,2014
59.3935,16.84293,1,2014
59.39351,16.84124,1,2014
59.39351,16.84212,1,2014
59.39438,16.83957,1,2014
59.39437,16.84126,1,2014
59.39528,16.8396,1,2014
59.39529,16.83704,1,2014
59.39439,16.83782,1,2014
59.39526,16.84129,1,2014
59.3961,16.84389,1,2014
59.39609,16.84476,1,2014
59.39566,16.84299,1,2014
59.3948,16.84215,1,2014
59.3948,16.84296,1,2014
59.39658,16.83964,1,2014
59.39436,16.84214,1,2014
59.39565,16.84475,1,2014
59.39482,16.84039,1,2014
59.39484,16.83782,1,2014
59.39611,16.84301,1,2014
59.39528,16.83872,1,2014
59.39567,16.84218,1,2014
59.39571,16.83706,1,2014
59.39437,16.84038,1,2014
60.21949,14.86802,1,2014
60.21983,14.86638,1,2014
58.75956,17.13164,1,2014
58.64268,15.79837,1,2014
58.76498,17.1232,1,2014
58.06359,15.94246,1,2014
58.76213,17.10947,1,2014
58.76114,17.11696,1,2014
58.75947,17.12543,1,2014
58.75949,17.12386,1,2014
58.76426,17.12276,1,2014
56.29316,15.19808,1,2014
57.65554,14.16655,1,2014
59.34292,17.93817,1,2014
59.33677,17.94844,1,2014
59.33794,17.94279,1,2014
59.33479,17.94799,1,2014
59.33733,17.94819,1,2014
59.34371,17.93901,1,2014
59.34235,17.93761,1,2014
59.33797,17.94221,1,2014
59.34345,17.93873,1,2014
59.34339,17.93899,1,2014
59.78315,18.97461,1,2014
63.15956,14.33943,1,2014
58.84447,15.6579,1,2014
58.82039,16.33101,1,2014
58.82429,16.3238,1,2014
62.31776,17.33277,1,2014
62.33072,17.33003,1,2002
56.10516,13.86438,1,2014
59.74999,13.33481,1,2014
58.59124,14.9718,1,2014
58.76986,17.09763,1,2014
59.44745,16.78674,1,2014
57.95192,15.89611,1,2014
60.10469,12.8384,1,2014
60.10479,12.83807,1,2014
58.18277,15.47326,1,2014
59.0733,16.70285,1,2014
58.17853,15.46228,1,2014
62.32927,17.38719,1,2003
62.39316,16.78144,1,2003
62.53465,17.47579,1,2003
62.47026,17.21045,1,2003
62.54435,15.53299,1,2003
59.58338,15.75305,1,2014
58.06905,15.62022,1,2014
60.11031,12.83275,1,2014
57.99538,15.58927,1,2014
59.81849,17.56889,1,2014
58.56954,16.25387,1,2014
57.28888,17.96304,1,2014
58.55511,14.8719,1,2014
59.96898,15.73026,1,2014
58.88708,12.34881,1,2014
60.33181,12.61218,1,2014
58.88075,12.3406,1,2014
58.88279,12.34317,1,2014
60.33224,12.61078,1,2014
58.00641,15.67075,1,2014
59.8892,17.34965,1,2014
60.28766,13.06176,1,2014
59.68548,18.31777,1,2014
58.0082,15.76568,1,2014
57.98633,15.5451,1,2013
57.97433,15.51099,1,2013
58.03781,15.39628,1,2013
58.02341,15.42918,1,2013
59.20553,12.92844,1,2014
58.20584,14.60921,1,2014
62.59826,15.57142,1,2001
62.52398,17.22269,1,2002
62.45935,16.92894,1,2001
62.39312,17.29386,1,2000
62.53325,17.19399,1,2004
62.48474,17.5215,1,2004
62.36435,17.02198,1,2004
62.23845,17.47863,1,2007
62.27927,17.44236,1,2006
62.24351,17.4308,1,2007
62.18566,17.38928,1,2006
62.29721,17.44333,1,2006
62.79321,16.66726,1,2007
62.16222,17.47442,1,2006
62.18117,17.38905,1,2006
62.21459,17.59266,1,2006
62.46968,17.64666,1,2004
62.62591,16.85728,1,2004
62.48625,15.9311,1,2002
62.82472,16.64857,1,2007
62.18128,17.37945,1,2006
62.36435,17.02198,1,2005
62.78847,16.70631,1,2006
62.29721,17.44333,1,2006
62.27075,17.40338,1,2006
62.22854,17.55501,1,2006
62.41088,17.68175,1,2001
62.21933,17.57371,1,2007
62.36825,16.43289,1,2004
62.45323,17.52937,1,2004
62.25389,17.30624,1,2007
62.44048,17.47053,1,2004
62.45935,16.92894,1,2001
62.49951,16.06698,1,2001
62.18936,17.45671,1,2006
62.20293,17.44783,1,2002
62.23338,17.52644,1,2006
62.50322,15.27139,1,2000
62.74791,16.73443,1,2007
62.24777,17.45028,1,2006
62.64356,16.8969,1,2007
62.36435,17.02198,1,2005
62.25674,17.45076,1,2006
62.68934,16.77165,1,2004
62.30158,17.45321,1,2004
62.19844,17.44759,1,2006
62.50886,17.73644,1,2004
62.22579,17.41062,1,2006
62.45783,17.51995,1,2004
62.18128,17.37945,1,2006
62.24211,17.54618,1,2006
62.18397,17.37959,1,2006
62.29732,17.4337,1,2006
62.15382,17.42599,1,2006
62.45323,17.52937,1,2006
62.18117,17.38905,1,2006
62.19396,17.44735,1,2006
62.5081,15.38775,1,2000
57.46658,15.84356,1,2013
58.78507,17.07751,1,2014
58.18198,15.45797,1,2014
58.18241,15.45843,1,2014
57.28846,16.97373,1,2014
58.18079,15.46529,1,2014
58.01194,15.94659,1,2014
62.68313,17.41016,1,2014
59.31484,16.50508,1,2014
63.323,18.47916,1,2014
59.3278,16.50025,1,2014
59.2924,14.91547,1,2014
59.29319,14.91388,1,2014
59.34546,15.43696,1,2014
59.29231,14.91582,1,2014
58.18238,13.46792,1,2014
59.99623,17.77742,1,2014
59.63098,16.83225,1,2014
59.2196,16.94862,1,2014
59.21986,16.95002,1,2014
59.29264,14.9116,1,2014
59.29221,14.91442,1,2014
59.29301,14.91352,1,2014
59.21967,16.95072,1,2014
58.76295,16.9612,1,2014
58.97292,12.36378,1,2014
58.15949,16.16444,1,2014
58.81077,12.42075,1,2014
59.15559,14.89037,1,2014
62.24211,17.54618,1,2006
62.22854,17.55501,1,2006
62.62591,16.85728,1,2004
62.21459,17.59266,1,2006
62.18128,17.37945,1,2006
62.45935,16.92894,1,2001
62.18128,17.37945,1,2006
62.29721,17.44333,1,2006
62.18117,17.38905,1,2006
62.45783,17.51995,1,2004
62.49951,16.06698,1,2001
62.41088,17.68175,1,2001
62.59826,15.57142,1,2001
62.19844,17.44759,1,2006
62.18117,17.38905,1,2006
62.25674,17.45076,1,2006
62.36435,17.02198,1,2005
62.36435,17.02198,1,2005
62.27075,17.40338,1,2006
62.45323,17.52937,1,2006
57.65463,15.90516,1,2014
62.23338,17.52644,1,2006
62.27927,17.44236,1,2006
62.18936,17.45671,1,2006
62.18397,17.37959,1,2006
62.24777,17.45028,1,2006
62.45323,17.52937,1,2004
62.50886,17.73644,1,2004
62.48474,17.5215,1,2004
62.18566,17.38928,1,2006
62.36825,16.43289,1,2004
62.19396,17.44735,1,2006
62.36435,17.02198,1,2004
62.44048,17.47053,1,2004
62.29732,17.4337,1,2006
62.68934,16.77165,1,2004
62.22579,17.41062,1,2006
62.29721,17.44333,1,2006
62.78847,16.70631,1,2006
62.64356,16.8969,1,2007
60.15333,18.73709,1,2014
62.23845,17.47863,1,2007
62.30158,17.45321,1,2004
62.79321,16.66726,1,2007
62.46968,17.64666,1,2004
62.53325,17.19399,1,2004
62.16222,17.47442,1,2006
62.15382,17.42599,1,2006
62.48625,15.9311,1,2002
62.20293,17.44783,1,2002
62.45935,16.92894,1,2001
62.52398,17.22269,1,2002
62.74791,16.73443,1,2007
62.50322,15.27139,1,2000
