"lat","long","presence","year","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
60.29544,23.292288,0,2024,5.66666650772095,2.91666674613953,5.29166650772095,4.375,3.95833325386047,NA,4.125,NA,NA,4.58333349227905,3.875,NA,NA,2.33333325386047,NA,17.6666660308838,16.8333339691162,NA,17.6666660308838
60.29544,23.292288,0,2024,5.66666650772095,2.91666674613953,4.20833349227905,3.83333325386047,4.20833349227905,4.125,4.29166650772095,2.875,4.25,6.08333349227905,4.58333349227905,5.75,5.66666650772095,5.08333349227905,5.83333349227905,16.6666660308838,17.6666660308838,NA,17.5
60.29544,23.292288,0,2024,5.66666650772095,2.91666674613953,4.20833349227905,4.79166650772095,NA,4.58333349227905,4.75,4.20833349227905,3.70833325386047,4.83333349227905,6.16666650772095,5.91666650772095,4.91666650772095,4.58333349227905,5.08333349227905,16.6666660308838,18.5,NA,17.6666660308838
60.29544,23.292288,0,2024,5.66666650772095,2.91666674613953,5.04166650772095,4.125,5.66666650772095,3.20833325386047,4.25,5.04166650772095,4.125,4.58333349227905,5.875,NA,4.29166650772095,4.25,4.875,17.3333339691162,18.5,NA,17.5
60.29544,23.292288,0,2024,5.66666650772095,2.91666674613953,5.29166650772095,4.375,5.16666650772095,4.58333349227905,3.91666674613953,6.41666650772095,4.58333349227905,5,4.125,5.875,3.25,5.875,4.375,17.8333339691162,18.5,NA,17.3333339691162
60.29544,23.292288,0,2024,5.66666650772095,2.91666674613953,4.20833349227905,4.875,2.91666674613953,5.16666650772095,4.04166650772095,3.41666674613953,5.875,5.75,5.5,5.25,5.66666650772095,4.875,5.875,17.1666660308838,18.5,NA,17.5
60.29544,23.292288,0,2024,5.66666650772095,2.91666674613953,4.20833349227905,3.625,6,4.25,4.375,3.41666674613953,NA,5.16666650772095,5.875,2.75,NA,5.5,4.83333349227905,18.3333339691162,18.5,17,18.6666660308838
60.29544,23.292288,0,2024,5.66666650772095,4.91666650772095,5.04166650772095,3.83333325386047,5.125,4.29166650772095,NA,4.25,6.29166650772095,5.04166650772095,NA,NA,NA,4.20833349227905,5.91666650772095,NA,18.5,17,17.6666660308838
60.17,22.206,0,2024,NA,4.91666650772095,5.29166650772095,4.79166650772095,4.875,3.33333325386047,4.83333349227905,NA,NA,4.16666650772095,5.04166650772095,3.95833325386047,4.25,4.91666650772095,5.08333349227905,NA,17.6666660308838,17,18.3333339691162
60.17,22.206,0,2024,NA,4.91666650772095,5.04166650772095,4.125,5.875,4.875,5.29166650772095,NA,5.875,4.20833349227905,5.25,6,4.79166650772095,4.58333349227905,4.375,16.6666660308838,17.6666660308838,17,16.8333339691162
60.17,22.206,0,2024,NA,4.91666650772095,4.20833349227905,4.875,2.25,3.58333325386047,4.29166650772095,2.875,3.5,NA,3.5,NA,4.58333349227905,2.95833325386047,4.83333349227905,17.3333339691162,18,17,17.1666660308838
