decimalLatitude,decimalLongitude,occurrenceStatus,year
61.492459,25.661161,1,2024
65.294239,25.603056,1,2024
61.495354,23.63826,1,2024
62.19007,23.125391,1,2024
60.17,22.206,1,2024
61.193188,23.895997,1,2024
63.560795,29.127498,1,2024
60.187029,24.901791,1,2024
63.124131,23.549656,1,2024
61.186074,23.845763,1,2024
61.522082,23.329526,1,2024
60.420083,22.440838,1,2024
60.420083,22.440838,1,2024
61.182202,23.853716,1,2024
61.034836,28.27089,1,2024
61.186868,23.869632,1,2024
68.644287,27.520342,1,2024
60.094832,24.751573,1,2024
61.490244,23.753284,1,2022
60.424764,22.320618,1,2024
64.902997,28.816448,1,2024
60.793551,24.953117,1,2024
60.22053,25.0075,1,2024
60.06569,23.688588,1,2024
62.149676,28.220928,1,2024
60.409252,22.282145,1,2021
60.814501,21.244344,1,2021
60.906726,21.290092,1,2021
62.648064,30.913663,1,2020
60.094892,23.550873,1,2020
60.702208,26.911251,1,2021
60.632227,21.846726,1,2021
60.402642,25.857689,1,2019
60.532852,21.927383,1,2021
60.61025,23.9877,1,2019
61.646595,24.367253,1,2021
60.255145,25.199545,1,2021
59.904505,23.691018,1,2021
61.725607,26.304699,1,2020
60.494761,23.404236,1,2021
63.365567,21.22658,1,2021
60.354739,24.025909,1,2022
59.844409,23.208996,1,2022
60.049542,23.85076,1,2022
60.55047,25.567037,1,2022
63.513104,28.943824,1,2018
60.799846,23.472952,1,2023
62.972495,31.403205,1,2018
66.58932,25.634385,1,2016
66.588646,25.628975,1,2016
60.206929,23.814144,1,2019
59.807384,22.321257,1,2021
60.517365,23.421952,1,2021
59.999079,23.890075,1,2021
60.38399,22.252066,1,2021
60.396671,22.246108,1,2021
62.166116,25.686459,1,2020
61.426361,25.854197,1,2023
63.657217,28.309061,1,2018
65.753591,24.428415,1,2020
66.005754,24.05686,1,2021
65.779242,24.521649,1,2020
65.906773,24.715051,1,2020
64.223576,28.025543,1,2021
64.413515,27.68167,1,2021
65.047078,24.765991,1,2020
59.83913,23.325264,1,2020
65.623451,25.056203,1,2021
65.623748,24.956889,1,2021
60.746532,23.594361,1,2020
61.476865,25.923575,1,2020
61.015351,25.312498,1,2020
61.614442,26.099095,1,2020
60.938502,25.61672,1,2020
60.6685,23.749331,1,2020
65.354347,25.334544,1,2020
62.752471,29.181893,1,2020
62.58839,29.236559,1,2020
61.760423,25.800905,1,2021
64.254078,28.26878,1,2021
63.975464,28.622535,1,2021
66.282337,23.69604,1,2021
64.401541,27.65778,1,2021
60.587035,23.388435,1,2022
61.012231,25.563936,1,2020
61.13308,25.368986,1,2020
62.213214,30.609519,1,2020
66.378045,29.27339,1,2016
63.734679,28.701667,1,2020
61.137731,25.36732,1,2020
60.785156,22.069133,1,2017
65.622234,24.866377,1,2021
66.330749,23.787577,1,2008
65.816781,24.932299,1,2008
65.814734,24.930932,1,2008
65.816236,24.92987,1,2008
66.07811,24.962415,1,2008
65.81192,24.51605,1,2008
65.810306,24.517825,1,2008
60.001885,22.202143,1,2021
60.323541,25.862075,1,2020
60.401294,22.250026,1,2016
66.132187,25.602279,1,2008
65.658133,24.91214,1,2020
63.602693,25.070547,1,2020
61.100009,25.83994,1,2020
60.94236,25.563122,1,2020
61.213612,25.485453,1,2020
62.588542,29.238651,1,2020
60.792935,23.865744,1,2020
60.821006,23.775351,1,2020
60.832482,23.46263,1,2020
65.656724,24.911097,1,2020
65.592105,25.010344,1,2021
67.650516,25.738337,1,2009
60.431128,24.17516,1,2018
60.589994,23.333427,1,2021
60.5887,23.380841,1,2021
64.416842,27.674747,1,2021
60.132941,22.410854,1,2021
59.911986,22.364306,1,2021
60.583625,23.338197,1,2021
60.405912,22.475033,1,2022
60.585053,23.383528,1,2022
65.654293,24.905263,1,2021
65.808919,24.521416,1,2008
61.88422,21.878142,1,2016
60.424784,21.405115,1,2017
61.966734,21.385163,1,2018
60.430173,21.378647,1,2017
62.592421,29.461614,1,2018
62.562617,30.680714,1,2018
63.10385,29.79155,1,2018
60.047666,23.465226,1,2021
63.105572,29.797964,1,2018
59.961436,23.426292,1,2021
61.679869,21.365076,1,2021
63.087405,29.837111,1,2018
61.494224,21.573118,1,2021
59.904036,23.371837,1,2021
64.409731,27.663585,1,2021
62.59183,29.454642,1,2018
63.108991,29.790382,1,2018
61.534671,21.583576,1,2021
61.677933,21.659129,1,2022
61.797221,21.711106,1,2016
60.425309,21.403112,1,2017
63.057951,29.831505,1,2013
65.960235,24.698773,1,2020
61.390007,26.623048,1,2022
64.415058,27.68372,1,2021
64.398897,27.660833,1,2021
64.400924,27.654615,1,2021
64.333315,28.027694,1,2022
64.45778,27.805756,1,2021
63.563553,26.058684,1,2020
60.093763,23.52927,1,2021
68.749837,27.64011,1,2020
61.697877,21.382415,1,2021
61.55236,21.673551,1,2021
61.542816,21.707256,1,2021
60.392494,22.457099,1,2021
60.093581,23.525781,1,2021
64.417333,27.797262,1,2021
64.40482,27.671343,1,2021
63.093576,29.799663,1,2013
63.035907,29.920664,1,2008
61.262271,27.709771,1,2014
60.632227,21.846725,1,2011
60.900703,21.682202,1,2011
61.675927,21.596645,1,2011
60.921172,22.061911,1,2018
60.056354,24.294193,1,2018
61.937962,25.734356,1,2013
60.309141,24.534184,1,2009
66.790245,23.913725,1,2022
63.768665,22.556587,1,2021
61.764829,29.184592,1,2021
60.993143,23.446762,1,2014
60.993143,23.446762,1,2014
63.019759,29.923153,1,2008
62.360121,29.015726,1,2018
61.518889,21.441322,1,2012
60.27747,21.812653,1,2015
61.443186,26.699613,1,2016
64.671667,27.92368,1,2016
65.648801,24.907382,1,2019
65.649035,24.905403,1,2019
63.018342,29.930062,1,2008
61.896692,22.039831,1,2018
61.897176,22.040554,1,2018
61.893042,22.041671,1,2018
64.34463,25.851271,1,2021
64.306143,26.146298,1,2021
64.30654,26.142712,1,2021
61.507538,21.463344,1,2010
59.949508,23.494931,1,2014
60.583255,27.19706,1,2018
60.558802,27.211963,1,2018
62.07141,29.662093,1,2019
62.629745,27.784736,1,2019
62.591668,28.337373,1,2019
59.85272,23.496393,1,2014
62.333143,27.187388,1,2020
61.88015,29.036495,1,2021
63.103449,29.790146,1,2008
60.440736,27.547139,1,2010
60.343893,25.219214,1,2009
63.328335,21.278911,1,2022
61.74772,27.359971,1,2018
62.318624,21.373708,1,2022
61.943631,29.289734,1,2019
62.642525,23.632286,1,2021
65.170358,27.908637,1,2022
62.035662,28.484881,1,2018
63.036477,28.484594,1,2021
60.987167,25.783383,1,2021
64.196066,23.698461,1,2021
65.560024,25.030638,1,2022
61.949911,28.031212,1,2018
66.276779,29.555701,1,2022
62.380905,21.858224,1,2021
65.53499,25.033329,1,2022
62.616975,29.689057,1,2022
62.615466,29.68943,1,2022
62.072504,22.076201,1,2021
63.083875,29.816599,1,2008
60.845827,21.017671,1,2023
61.693143,26.608749,1,2018
59.924301,23.448325,1,2022
63.066045,23.906092,1,2021
61.782237,26.824317,1,2019
61.479717,26.746726,1,2018
62.039506,28.698423,1,2019
61.702014,28.952439,1,2019
62.072823,29.239384,1,2019
62.07642,30.171959,1,2022
61.423529,26.600634,1,2019
61.777805,28.791232,1,2019
61.95898,26.659978,1,2019
63.05028,30.667907,1,2019
68.502466,26.701759,1,2019
60.059219,24.224538,1,2022
60.258046,27.024231,1,2022
61.436277,26.888064,1,2019
61.810435,28.673185,1,2019
61.427882,28.031067,1,2019
62.093303,27.102323,1,2017
65.812087,24.545955,1,2021
65.907445,24.122766,1,2019
60.1396,24.997644,1,2022
60.581933,23.308196,1,2022
60.577181,23.339247,1,2022
60.584957,23.363654,1,2022
60.307608,24.437692,1,2022
60.324033,24.498669,1,2022
61.449179,28.250623,1,2019
61.72232,24.65509,1,2022
65.813304,24.544542,1,2019
65.810917,24.548383,1,2019
63.175117,28.483903,1,2021
63.013381,29.926446,1,2008
64.195341,23.641882,1,2021
63.342409,27.233517,1,2021
64.194167,23.564946,1,2022
64.316224,23.511562,1,2022
62.045197,29.508958,1,2022
64.206023,23.614776,1,2022
64.211374,23.609626,1,2022
65.628976,25.040719,1,2022
60.568123,26.049132,1,2020
60.098075,21.792514,1,2023
60.620801,21.790906,1,2023
63.763053,29.483812,1,2018
63.763676,29.492975,1,2018
60.686037,24.294342,1,2010
65.617705,24.179217,1,2021
65.696654,24.170113,1,2021
64.750502,26.136824,1,2021
65.552769,24.811279,1,2021
66.397741,29.175521,1,2021
66.388779,29.25397,1,2021
62.857635,29.36741,1,2021
62.915864,29.063397,1,2021
60.452352,24.854675,1,2019
65.628976,25.040719,1,2021
65.628976,25.040719,1,2019
60.572762,26.499094,1,2021
60.617138,26.022978,1,2021
65.737657,25.220204,1,2019
65.738831,25.222552,1,2019
63.012417,29.9247,1,2009
65.734626,25.216245,1,2019
