"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia","Maakunta|landskap","Region",NA,"Pohjois-Karjala|Norra Karelen"
2,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia","Maakunta|landskap","Region",NA,"Pohjois-Savo|Norra Savolax"
3,78,"FIN","Finland",1,"Eastern Finland",3,"Päijänne Tavastia","Maakunta|landskap","Region",NA,"Päijät-Häme|Päijänne Tavastland"
4,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia","Maakunta|landskap","Region",NA,"Etelä-Savo|Södra Savolax"
5,78,"FIN","Finland",2,"Lapland",5,"Lapland","Maakunta|landskap","Region",NA,"Lappi|Lappland"
6,78,"FIN","Finland",3,"Oulu",6,"Kainuu","Maakunta|landskap","Region",NA,"Kainuu|Kajanaland"
7,78,"FIN","Finland",3,"Oulu",7,"Northern Ostrobothnia","Maakunta|landskap","Region",NA,"Pohjois-Pohjanmaa|Norra Österbotten"
8,78,"FIN","Finland",4,"Southern Finland",8,"Eastern Uusimaa","Maakunta|landskap","Region",NA,"Itä-Uusimaa|Östra Nyland"
9,78,"FIN","Finland",4,"Southern Finland",9,"Kymenlaakso","Maakunta|landskap","Region",NA,"Kymenlaakso|Kymmenedalen"
10,78,"FIN","Finland",4,"Southern Finland",10,"Päijänne Tavastia","Maakunta|landskap","Region",NA,"Päijät-Häme|Päijänne Tavastland"
11,78,"FIN","Finland",4,"Southern Finland",11,"South Karelia","Maakunta|landskap","Region",NA,"Etelä-Karjala|Södra Karelen"
12,78,"FIN","Finland",4,"Southern Finland",12,"Uusimaa","Maakunta|landskap","Region",NA,"Uusimaa|Nyland"
13,78,"FIN","Finland",5,"Western Finland",13,"Central Finland","Maakunta|landskap","Region",NA,"Keski-Suomi|Mellersta Finland"
14,78,"FIN","Finland",5,"Western Finland",14,"Central Ostrobothnia","Maakunta|landskap","Region",NA,"Keski-Pohjanmaa|Mellersta Österbotten"
15,78,"FIN","Finland",5,"Western Finland",15,"Finland Proper","Maakunta|landskap","Region",NA,"Varsinais-Suomi|Egentliga Finland"
16,78,"FIN","Finland",5,"Western Finland",16,"Ostrobothnia","Maakunta|landskap","Region",NA,"Österbotten|Pohjanmaa"
17,78,"FIN","Finland",5,"Western Finland",17,"Päijänne Tavastia","Maakunta|landskap","Region",NA,"Päijät-Häme|Päijänne Tavastland"
18,78,"FIN","Finland",5,"Western Finland",18,"Pirkanmaa","Maakunta|landskap","Region",NA,"Pirkanmaa|Birkaland"
19,78,"FIN","Finland",5,"Western Finland",19,"Satakunta","Maakunta|landskap","Region",NA,"Satakunta|Satakunda"
20,78,"FIN","Finland",5,"Western Finland",20,"Southern Ostrobothnia","Maakunta|landskap","Region",NA,"Etelä-Pohjanmaa|Sydösterbotten"
21,78,"FIN","Finland",5,"Western Finland",21,"Tavastia Proper","Maakunta|landskap","Region",NA,"Kanta-Häme|Egentliga Tavastland"
