"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",1,"Ilomantsi","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
2,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
3,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",3,"Middle Karelia","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
4,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",4,"Pielisen Karelia","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
5,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",5,"Kuopio","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
6,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",6,"North Eastern Savonia","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
7,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
8,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",8,"Varkaus","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
9,78,"FIN","Finland",1,"Eastern Finland",3,"Päijänne Tavastia",9,"Heinola","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
10,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",10,"Juva","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
11,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",11,"Mikkeli","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
12,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",12,"Pieksämäki","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
13,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",13,"Savonlinna","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
14,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",14,"Varkaus","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
15,78,"FIN","Finland",2,"Lapland",5,"Lapland",15,"Eastern Lapland","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
16,78,"FIN","Finland",2,"Lapland",5,"Lapland",16,"Kemi-Tornio","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
17,78,"FIN","Finland",2,"Lapland",5,"Lapland",17,"Northern Lapland","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
18,78,"FIN","Finland",2,"Lapland",5,"Lapland",18,"Rovaniemi","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
19,78,"FIN","Finland",2,"Lapland",5,"Lapland",19,"Tornio Valley","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
20,78,"FIN","Finland",2,"Lapland",5,"Lapland",20,"Tunturi Lapland","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
21,78,"FIN","Finland",3,"Oulu",6,"Kainuu",21,"Kajaani","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
22,78,"FIN","Finland",3,"Oulu",6,"Kainuu",22,"Kehys-Kainuu","Seutukunta|Ekonomisk region","Sub-Region",NA,"Ylä-Kainuun"
23,78,"FIN","Finland",3,"Oulu",7,"Northern Ostrobothnia",23,"Koillismaa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
24,78,"FIN","Finland",3,"Oulu",7,"Northern Ostrobothnia",24,"Nivala-Haapajärvi","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
25,78,"FIN","Finland",3,"Oulu",7,"Northern Ostrobothnia",25,"Oulunkaari","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
26,78,"FIN","Finland",3,"Oulu",7,"Northern Ostrobothnia",26,"Oulu","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
27,78,"FIN","Finland",3,"Oulu",7,"Northern Ostrobothnia",27,"Raahe","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
28,78,"FIN","Finland",3,"Oulu",7,"Northern Ostrobothnia",28,"Siikalatva","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
29,78,"FIN","Finland",3,"Oulu",7,"Northern Ostrobothnia",29,"Ylivieska","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
30,78,"FIN","Finland",4,"Southern Finland",8,"Eastern Uusimaa",30,"Loviisa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
