"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",1,"Ilomantsi",1,"Ilomantsi","Ilomants","Kunta|Kommun","Municipality"
2,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",1,"Ilomantsi",2,"Tuupovaara",NA,"Kunta|Kommun","Municipality"
3,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu",3,"Eno",NA,"Kunta|Kommun","Municipality"
4,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu",4,"Joensuu",NA,"Kunta|Kommun","Municipality"
5,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu",5,"Kiihtelysvaara",NA,"Kunta|Kommun","Municipality"
6,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu",6,"Kontiolahti",NA,"Kunta|Kommun","Municipality"
7,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu",7,"Liperi",NA,"Kunta|Kommun","Municipality"
8,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu",8,"Outokumpu",NA,"Kunta|Kommun","Municipality"
9,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu",9,"Polvijärvi","Polvijaervi","Kunta|Kommun","Municipality"
10,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",2,"Joensuu",10,"Pyhäselkä","Pyhaeselkae","Kunta|Kommun","Municipality"
11,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",3,"Middle Karelia",11,"Kesälahti","Kesaelahti","Kunta|Kommun","Municipality"
12,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",3,"Middle Karelia",12,"Kitee",NA,"Kunta|Kommun","Municipality"
13,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",3,"Middle Karelia",13,"Rääkkylä","Raeaekkylae","Kunta|Kommun","Municipality"
14,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",3,"Middle Karelia",14,"Tohmajärvi","Tohmajaervi","Kunta|Kommun","Municipality"
15,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",3,"Middle Karelia",15,"Värtsilä","Vaertsilae","Kunta|Kommun","Municipality"
16,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",4,"Pielisen Karelia",16,"Juuka",NA,"Kunta|Kommun","Municipality"
17,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",4,"Pielisen Karelia",17,"Lieksa",NA,"Kunta|Kommun","Municipality"
18,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",4,"Pielisen Karelia",18,"Nurmes",NA,"Kunta|Kommun","Municipality"
19,78,"FIN","Finland",1,"Eastern Finland",1,"North Karelia",4,"Pielisen Karelia",19,"Valtimo",NA,"Kunta|Kommun","Municipality"
20,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",5,"Kuopio",20,"Karttula",NA,"Kunta|Kommun","Municipality"
21,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",5,"Kuopio",21,"Kuopio",NA,"Kunta|Kommun","Municipality"
22,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",5,"Kuopio",22,"Maaninka",NA,"Kunta|Kommun","Municipality"
23,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",5,"Kuopio",23,"Siilinjärvi","Siilinjaervi","Kunta|Kommun","Municipality"
24,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",5,"Kuopio",24,"Vehmersalmi",NA,"Kunta|Kommun","Municipality"
25,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",6,"North Eastern Savonia",25,"Juankoski",NA,"Kunta|Kommun","Municipality"
26,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",6,"North Eastern Savonia",26,"Kaavi",NA,"Kunta|Kommun","Municipality"
27,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",6,"North Eastern Savonia",27,"Nilsiä","Nilsiae","Kunta|Kommun","Municipality"
28,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",6,"North Eastern Savonia",28,"Rautavaara",NA,"Kunta|Kommun","Municipality"
29,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",6,"North Eastern Savonia",29,"Tuusniemi",NA,"Kunta|Kommun","Municipality"
30,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia",30,"Iisalmi","Idensalmi","Kunta|Kommun","Municipality"
31,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia",31,"Keitele",NA,"Kunta|Kommun","Municipality"
32,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia",32,"Kiuruvesi",NA,"Kunta|Kommun","Municipality"
33,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia",33,"Lapinlahti",NA,"Kunta|Kommun","Municipality"
34,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia",34,"Pielavesi",NA,"Kunta|Kommun","Municipality"
35,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia",35,"Sonkajärvi","Sonkajaervi","Kunta|Kommun","Municipality"
36,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia",36,"Varpaisjärvi","Varpaisjaervi","Kunta|Kommun","Municipality"
37,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",7,"Upper Savonia",37,"Vieremä","Vieremae","Kunta|Kommun","Municipality"
38,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",8,"Varkaus",38,"Leppävirta","Leppaevirta","Kunta|Kommun","Municipality"
39,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",8,"Varkaus",39,"Rautalampi",NA,"Kunta|Kommun","Municipality"
40,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",8,"Varkaus",40,"Suonenjoki",NA,"Kunta|Kommun","Municipality"
41,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",8,"Varkaus",41,"Tervo",NA,"Kunta|Kommun","Municipality"
42,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",8,"Varkaus",42,"Varkaus",NA,"Kunta|Kommun","Municipality"
43,78,"FIN","Finland",1,"Eastern Finland",2,"North Savonia",8,"Varkaus",43,"Vesanto",NA,"Kunta|Kommun","Municipality"
44,78,"FIN","Finland",1,"Eastern Finland",3,"Päijänne Tavastia",9,"Heinola",44,"Hartola",NA,"Kunta|Kommun","Municipality"
45,78,"FIN","Finland",1,"Eastern Finland",3,"Päijänne Tavastia",9,"Heinola",45,"Heinola landskommun","Heinola lk","Kunta|Kommun","Municipality"
46,78,"FIN","Finland",1,"Eastern Finland",3,"Päijänne Tavastia",9,"Heinola",46,"Heinola",NA,"Kunta|Kommun","Municipality"
47,78,"FIN","Finland",1,"Eastern Finland",3,"Päijänne Tavastia",9,"Heinola",47,"Sysmä","Sysmae","Kunta|Kommun","Municipality"
48,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",10,"Juva",48,"Joroinen","Jorois","Kunta|Kommun","Municipality"
49,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",10,"Juva",49,"Juva",NA,"Kunta|Kommun","Municipality"
50,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",10,"Juva",50,"Puumala",NA,"Kunta|Kommun","Municipality"
51,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",10,"Juva",51,"Rantasalmi",NA,"Kunta|Kommun","Municipality"
52,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",10,"Juva",52,"Sulkava",NA,"Kunta|Kommun","Municipality"
53,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",11,"Mikkeli",53,"Anttola",NA,"Kunta|Kommun","Municipality"
54,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",11,"Mikkeli",54,"Hirvensalmi",NA,"Kunta|Kommun","Municipality"
55,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",11,"Mikkeli",55,"Kangasniemi",NA,"Kunta|Kommun","Municipality"
56,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",11,"Mikkeli",56,"Mäntyharju","Maentyharju","Kunta|Kommun","Municipality"
57,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",11,"Mikkeli",57,"Mikkeli","St Michel","Kunta|Kommun","Municipality"
58,78,"FIN","Finland",1,"Eastern Finland",4,"Southern Savonia",11,"Mikkeli",58,"Pertunmaa",NA,"Kunta|Kommun","Municipality"
