decimalLatitude,decimalLongitude,occurrenceStatus,year
60.984169,27.822544,1,2024
61.070171,26.272237,1,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.29544,23.292288,1,2024
60.29544,23.292288,0,2024
60.29544,23.292288,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,1,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
60.17,22.206,1,2024
60.17,22.206,0,2024
60.17,22.206,0,2024
61.193392,23.89421,1,2024
60.228392,25.167346,1,2024
61.180354,23.892625,1,2024
60.585624,25.037265,1,2024
64.077343,24.541483,1,2024
60.616724,25.000124,1,2024
61.466103,23.607155,1,2024
63.332156,27.637331,1,2024
61.179963,23.872747,1,2024
61.143996,28.666466,1,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,1,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,0,2024
60.420083,22.440838,1,2024
60.420083,22.440838,0,2024
60.420083,22.440838,1,2024
61.177965,23.853078,1,2024
61.229214,28.997046,1,2024
60.119948,24.61893,1,2024
60.203424,24.965804,1,2024
60.423948,22.317914,1,2024
59.906452,23.239579,1,2024
65.754861,24.540176,1,2024
61.821279,21.768699,1,2024
61.391308,22.987837,1,2024
62.647217,23.79567,1,2024
63.051744,27.711283,1,2024
61.732543,22.601422,1,2024
61.075145,23.738002,1,2024
60.723897,24.725161,1,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,1,2024
60.723897,24.725161,0,2024
60.793551,24.953117,1,2024
60.793551,24.953117,0,2024
60.723897,24.725161,0,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.793551,24.953117,0,2024
60.723897,24.725161,1,2024
60.723897,24.725161,0,2024
60.793551,24.953117,0,2024
60.793551,24.953117,0,2024
61.08888,28.685256,1,2024
62.149676,28.220928,1,2024
60.174871,24.94574,1,2024
61.887753,24.632271,1,2020
60.532852,21.927383,1,2021
60.409252,22.282145,1,2021
60.517365,23.421952,1,2021
60.640309,21.845167,1,2021
60.604683,21.841009,1,2021
62.724941,24.641182,1,2020
61.943381,25.667161,1,2020
60.533622,21.934382,1,2021
60.494761,23.404236,1,2021
63.738308,28.707628,1,2018
62.892203,29.690001,1,2018
61.098371,24.102266,1,2023
60.561165,21.419459,1,2021
60.557777,21.423316,1,2021
60.487571,23.438968,1,2021
60.74254,26.091613,1,2020
64.398897,27.660833,1,2021
64.413515,27.68167,1,2021
61.003189,25.216011,1,2020
60.655643,21.940459,1,2018
60.822783,23.502935,1,2020
64.409731,27.663585,1,2021
60.577691,23.39477,1,2021
60.5887,23.380841,1,2021
62.698681,29.222015,1,2020
63.704082,25.964379,1,2020
63.099016,29.810734,1,2013
63.108991,29.790382,1,2018
60.561129,23.446429,1,2021
63.105572,29.797964,1,2018
61.524703,26.552517,1,2022
64.40482,27.671343,1,2021
61.708696,21.574491,1,2021
60.093763,23.52927,1,2021
60.093581,23.525781,1,2021
60.190332,23.717903,1,2021
63.087405,29.837111,1,2018
64.398897,27.660833,1,2021
64.400598,27.666815,1,2021
60.314226,24.518887,1,2009
60.434773,23.059987,1,2015
63.019759,29.923153,1,2008
62.902409,28.90109,1,2022
63.159891,29.071341,1,2022
63.027998,29.937053,1,2008
63.00385,28.82484,1,2019
63.104596,29.789527,1,2008
63.104047,29.789718,1,2008
63.588212,28.765851,1,2021
62.036615,29.822108,1,2021
64.875466,25.441371,1,2021
60.513266,23.419225,1,2021
60.547085,23.437543,1,2022
62.564285,23.373558,1,2021
64.043003,28.202225,1,2016
62.191658,21.830316,1,2021
60.928962,26.534889,1,2022
61.693143,26.608749,1,2018
60.404502,22.462777,1,2023
