decimalLatitude,decimalLongitude,occurrenceStatus,year
61.128435,27.425432,1,2024
60.566879,24.752886,1,2024
68.265744,24.791587,1,2024
60.17,22.206,1,2024
61.193491,23.893766,1,2024
60.358425,23.686122,1,2024
60.186454,24.689093,1,2024
60.231811,25.162365,1,2024
61.520695,25.53329,1,2024
60.616724,25.000124,1,2024
60.632,22.064,1,2024
62.67255,29.724454,1,2021
61.544842,23.886706,1,2024
63.333058,27.638284,1,2024
63.07284,30.796427,1,2024
61.955869,25.167882,1,2024
61.630733,28.593794,1,2024
61.098957,21.540375,1,2024
59.969206,22.429424,1,2024
60.178153,24.723458,1,2024
62.484406,29.913004,1,2024
60.204651,23.137162,1,2024
60.15497,24.761805,1,2024
60.222275,24.893686,1,2024
61.467194,23.894941,1,2024
69.222375,27.860469,1,2024
60.824615,25.002506,1,2024
61.544889,23.886591,1,2024
63.296736,21.741843,1,2024
60.154786,24.757988,1,2024
60.960244,27.231306,1,2024
60.379656,25.670206,1,2024
61.607822,24.025253,1,2024
60.029392,24.421169,1,2024
63.437967,27.375792,1,2024
60.181027,24.648404,1,2024
62.566932,26.837728,1,2024
61.18155,23.854133,1,2024
61.298333,29.13955,1,2024
61.034836,28.27089,1,2024
62.566564,26.838275,1,2024
60.206403,24.966493,1,2024
60.119948,24.61893,1,2024
60.203424,24.965804,1,2024
59.8492,23.268526,1,2024
59.972862,24.396978,1,2024
62.868427,27.645968,1,2024
60.42242,22.324111,1,2024
60.743112,23.183123,1,2024
60.094151,24.751781,1,2024
60.181308,24.987343,1,2024
61.837162,23.790872,1,2024
60.227718,25.118236,1,2024
63.218892,28.323608,1,2024
65.634032,27.413707,1,2024
63.253602,27.527693,1,2024
60.416512,22.259646,1,2024
60.425283,22.316539,1,2024
66.616755,24.31068,1,2024
61.266005,24.62168,1,2024
63.095487,29.808367,1,2024
61.646977,25.002359,1,2024
63.205403,28.337753,1,2024
61.412117,24.452224,1,2024
62.950397,23.104,1,2024
62.103036,25.580516,1,2024
68.1512,27.841431,1,2024
63.261755,27.51685,1,2024
64.519487,26.668348,1,2024
61.43546,23.865168,1,2024
60.426216,22.315067,1,2024
63.211187,28.328445,1,2024
61.088954,28.688445,1,2024
65.101571,28.230063,1,2024
62.149676,28.220928,1,2024
60.22053,25.0075,1,2024
68.417478,23.583289,1,2024
60.139339,24.447317,1,2024
60.063407,23.690337,1,2024
61.236964,22.269895,1,2024
62.58126,24.970807,1,2020
60.533622,21.934382,1,2021
62.7458,25.451777,1,2021
61.779758,26.214522,1,2020
63.037245,29.926376,1,2018
60.929156,21.357872,1,2021
60.616969,25.771225,1,2018
60.931356,21.38619,1,2021
62.648064,30.913663,1,2020
62.901434,29.140389,1,2018
62.902124,29.143366,1,2018
62.760232,30.68447,1,2018
60.094892,23.550873,1,2020
60.022504,23.102043,1,2020
61.859655,25.64096,1,2021
59.904505,23.691018,1,2021
60.072937,23.889841,1,2021
61.73207,26.297842,1,2021
63.365567,21.22658,1,2021
60.201588,23.940057,1,2020
59.807384,22.321257,1,2021
59.999793,23.903484,1,2021
61.947291,25.999386,1,2020
59.814704,22.327014,1,2021
62.056066,26.993401,1,2021
60.611109,21.842052,1,2021
62.718053,24.653289,1,2020
62.715621,24.641996,1,2020
60.537203,21.981915,1,2021
60.532852,21.927383,1,2021
62.752409,25.453473,1,2021
62.774522,25.313942,1,2021
60.255145,25.199545,1,2021
60.33683,24.496638,1,2021
61.692557,26.292394,1,2020
60.52783,25.722061,1,2022
60.312456,24.249088,1,2022
60.312628,24.248948,1,2022
68.283613,24.027313,1,2022
62.885302,29.702105,1,2018
62.667969,31.035943,1,2018
63.130825,30.729154,1,2018
61.323282,25.513857,1,2020
60.653123,23.897747,1,2020
63.140808,30.090474,1,2020
62.240816,30.762465,1,2016
62.207012,30.316815,1,2020
62.22205,25.520654,1,2020
61.926431,26.019078,1,2020
60.632227,21.846726,1,2021
60.69962,27.545459,1,2021
60.561165,21.419459,1,2021
60.557777,21.423316,1,2021
60.267929,25.902569,1,2018
60.379862,22.260141,1,2021
62.166116,25.686459,1,2020
60.453724,24.45562,1,2022
68.853937,27.465323,1,2018
60.799846,23.472952,1,2023
65.661277,24.910193,1,2019
65.633974,24.991974,1,2020
65.906773,24.715051,1,2020
64.201285,28.372145,1,2021
63.975464,28.622535,1,2021
64.401541,27.65778,1,2021
62.428633,30.342419,1,2018
60.055973,22.98511,1,2020
59.83913,23.325264,1,2020
59.994394,23.65,1,2020
65.779242,24.521649,1,2020
65.63579,24.992892,1,2020
62.893705,30.685287,1,2020
62.670917,29.051363,1,2020
65.067482,24.876812,1,2020
65.067891,24.879324,1,2020
60.469955,25.97405,1,2021
60.214854,24.58027,1,2021
62.065707,25.647422,1,2021
60.115387,24.591275,1,2021
60.228988,23.881254,1,2019
59.992406,24.44603,1,2021
61.831722,27.630527,1,2018
63.955301,28.905312,1,2021
61.831408,27.632801,1,2018
64.399305,27.673108,1,2021
62.610803,30.833149,1,2020
62.709218,29.150271,1,2020
61.484731,25.940224,1,2020
60.998852,25.217098,1,2020
60.655655,21.941212,1,2018
65.668663,24.870896,1,2020
60.824271,23.775901,1,2020
60.832482,23.46263,1,2020
66.331769,23.795223,1,2008
66.132795,25.602091,1,2008
65.816781,24.932299,1,2008
65.816197,24.927641,1,2008
65.814734,24.930932,1,2008
65.814728,24.933164,1,2008
65.81684,24.928027,1,2008
65.831118,24.900184,1,2008
65.832092,24.897936,1,2008
65.832117,24.883415,1,2008
65.832725,24.878722,1,2008
66.07811,24.962415,1,2008
61.864484,29.100296,1,2018
61.98254,25.967039,1,2021
60.858967,26.610005,1,2020
60.001885,22.202143,1,2021
60.267184,24.024124,1,2019
60.077413,21.370403,1,2021
62.607218,21.073452,1,2021
60.614585,23.876187,1,2022
66.889859,28.654215,1,2008
67.962538,27.943254,1,2008
66.327195,23.793327,1,2008
65.815693,24.938164,1,2008
65.818372,24.92786,1,2008
65.816673,24.926289,1,2008
60.401294,22.250026,1,2016
60.593611,21.54878,1,2022
61.584299,25.683736,1,2020
61.094791,25.836821,1,2020
60.601118,24.242981,1,2020
60.710755,23.584547,1,2020
65.081572,24.882262,1,2020
64.075144,23.628763,1,2020
62.58839,29.236559,1,2020
63.119066,29.028205,1,2020
62.055089,23.056145,1,2017
62.055089,23.056145,1,2017
60.562857,23.452478,1,2021
59.825985,22.321956,1,2021
60.132941,22.410854,1,2021
61.609491,28.716208,1,2018
60.185362,24.008592,1,2019
60.431128,24.17516,1,2018
60.584666,23.335511,1,2021
61.773218,22.724634,1,2018
61.200071,21.356963,1,2022
65.668409,24.864041,1,2020
65.816236,24.92987,1,2008
65.810806,24.511583,1,2008
67.595943,25.252988,1,2009
68.064308,24.856207,1,2009
68.01506,24.804443,1,2009
61.773218,22.724634,1,2020
60.229196,23.263211,1,2017
60.430173,21.378647,1,2017
62.769501,30.787687,1,2022
63.325922,29.207265,1,2022
61.644594,27.268341,1,2022
63.940142,25.78205,1,2020
62.931123,31.126502,1,2017
63.057099,29.835342,1,2013
61.728605,26.756792,1,2015
61.569336,24.524725,1,2018
63.10385,29.79155,1,2018
62.870868,28.146563,1,2018
63.079144,29.824811,1,2018
61.778154,21.482317,1,2021
59.811851,22.333548,1,2021
64.41008,27.66438,1,2021
64.407364,27.66923,1,2022
61.65712,25.89768,1,2021
62.562617,30.680714,1,2018
63.105762,29.792065,1,2018
63.203401,28.365026,1,2018
62.066531,30.223509,1,2022
61.797221,21.711106,1,2016
60.424784,21.405115,1,2017
60.204292,22.536151,1,2017
60.388306,21.317191,1,2017
60.901099,22.336155,1,2016
63.500062,28.96718,1,2022
61.390007,26.623048,1,2022
62.837385,30.847814,1,2017
62.837385,30.847814,1,2017
62.055089,23.056145,1,2017
63.083257,29.817326,1,2013
63.083987,29.816044,1,2013
65.021524,27.396894,1,2014
64.164864,27.991146,1,2021
64.469835,27.380274,1,2021
64.371444,27.57973,1,2021
64.399305,27.673108,1,2021
64.401541,27.65778,1,2021
64.164672,27.989792,1,2021
64.334502,28.030918,1,2022
64.430571,29.410867,1,2022
64.457611,27.807768,1,2021
64.458223,27.801915,1,2021
60.827973,23.553801,1,2020
63.856762,25.434425,1,2020
69.732237,27.020783,1,2016
65.898742,29.390138,1,2020
64.019374,25.755226,1,2020
62.31362,27.987395,1,2020
61.460389,27.676341,1,2011
62.46681,28.727893,1,2016
61.990333,23.919409,1,2011
61.217618,23.999029,1,2017
59.963903,23.592962,1,2021
64.701643,27.917832,1,2020
64.549093,28.888549,1,2021
63.074723,29.828762,1,2018
61.212032,24.005333,1,2017
64.422513,27.778768,1,2021
64.413515,27.68167,1,2021
64.326563,28.220677,1,2022
64.45729,27.806442,1,2021
61.408537,25.351697,1,2015
61.408537,25.351697,1,2015
61.408537,25.351697,1,2015
61.146697,26.086022,1,2012
61.146697,26.086022,1,2012
61.146697,26.086022,1,2012
61.145705,26.089413,1,2012
61.145705,26.089413,1,2012
61.145705,26.089413,1,2012
61.145705,26.089413,1,2012
63.050254,29.904118,1,2012
66.038519,24.367981,1,2021
61.981934,27.908726,1,2017
61.776232,28.943089,1,2013
61.87657,29.29916,1,2016
63.106358,29.798881,1,2008
60.900703,21.682202,1,2011
61.409414,25.352194,1,2015
61.409414,25.352194,1,2015
61.409414,25.352194,1,2015
61.408537,25.351697,1,2015
61.146697,26.086022,1,2012
61.146697,26.086022,1,2012
61.146697,26.086022,1,2012
61.146697,26.086022,1,2012
61.145705,26.089413,1,2012
63.05484,29.893331,1,2012
62.924093,27.582886,1,2012
62.924093,27.582886,1,2012
62.924093,27.582886,1,2012
60.358411,25.697192,1,2012
60.358411,25.697192,1,2012
60.358411,25.697192,1,2012
60.358411,25.697192,1,2012
60.358411,25.697192,1,2012
60.356,25.717988,1,2012
60.92953,23.567191,1,2020
61.066296,24.167042,1,2020
64.377066,23.997314,1,2020
64.206049,25.421364,1,2020
63.780904,25.954645,1,2020
63.548063,25.535485,1,2020
61.675927,21.596645,1,2011
59.979319,22.354929,1,2015
60.716354,21.015976,1,2015
60.717931,21.012684,1,2015
60.284501,21.332661,1,2016
59.829517,23.569063,1,2014
61.982676,27.905904,1,2021
60.992801,24.097539,1,2021
60.957324,24.024684,1,2021
60.957324,24.024684,1,2021
60.705943,23.974027,1,2021
60.705943,23.974027,1,2021
68.836163,26.763921,1,2007
68.206306,23.64171,1,2021
64.761787,27.906152,1,2020
68.489234,25.886597,1,2016
62.924093,27.582886,1,2012
62.924093,27.582886,1,2012
62.924093,27.582886,1,2012
60.358411,25.697192,1,2012
60.358411,25.697192,1,2012
60.358411,25.697192,1,2012
60.356,25.717988,1,2012
60.356,25.717988,1,2012
60.356,25.717988,1,2012
60.356,25.717988,1,2012
60.356,25.717988,1,2012
60.40969,21.807168,1,2016
63.01048,29.870148,1,2022
63.010534,29.873718,1,2022
59.899403,23.508102,1,2014
59.906708,23.512164,1,2014
64.704609,29.976127,1,2016
65.112113,28.080085,1,2016
64.083389,28.002131,1,2016
62.74633,31.048554,1,2017
62.498937,24.527777,1,2011
60.304844,25.190197,1,2021
60.304844,25.190197,1,2021
60.289595,25.197553,1,2021
60.289595,25.197553,1,2021
61.603462,27.331598,1,2021
63.671496,28.908188,1,2021
60.992801,24.097539,1,2021
60.992801,24.097539,1,2021
60.705943,23.974027,1,2021
62.785039,25.595812,1,2021
62.785039,25.595812,1,2021
62.785039,25.595812,1,2021
62.785039,25.595812,1,2021
60.304844,25.190197,1,2021
60.304844,25.190197,1,2021
60.289595,25.197553,1,2021
60.289595,25.197553,1,2021
64.293523,24.430554,1,2021
64.298792,24.489387,1,2021
62.720731,29.198172,1,2020
63.853677,28.516601,1,2022
60.426799,22.052464,1,2016
64.331983,24.435108,1,2021
61.753106,27.214317,1,2018
64.791201,26.142,1,2021
61.522237,21.488427,1,2010
60.121937,22.380571,1,2015
60.240606,21.939942,1,2015
61.937962,25.734356,1,2013
60.309141,24.534184,1,2009
63.05028,30.667907,1,2019
66.386185,29.397588,1,2019
62.841768,25.438025,1,2001
59.85272,23.496393,1,2014
63.371357,29.1685,1,2021
62.467097,29.043518,1,2020
62.333143,27.187388,1,2020
62.833456,30.079696,1,2021
63.036477,28.484594,1,2021
62.021435,29.986604,1,2021
60.546626,25.177613,1,2010
63.079267,29.824806,1,2008
